Ticker,Weight,Sector
MG,5,Consumer Discretionary
TRI,5,Consumer Discretionary
QSR,0,Consumer Discretionary
DOL,0,Consumer Discretionary
SJR.B,0,Consumer Discretionary
CTC.A,0,Consumer Discretionary
GIL,0,Consumer Discretionary
ATD.B,5,Consumer Staples
L,5,Consumer Staples
SAP,0,Consumer Staples
MRU,0,Consumer Staples
WN,0,Consumer Staples
SU,5,Energy
ENB,5,Energy
CNQ,0,Energy
TRP,0,Energy
CVE,0,Energy
PPL,0,Energy
IMO,0,Energy
CPG,0,Energy
IPL,0,Energy
ECA,0,Energy
ARX,0,Energy
CCO,0,Energy
HSE,0,Energy
RY,5,Financials
TD,5,Financials
BNS,0,Financials
BMO,0,Financials
CM,0,Financials
BAM.A,0,Financials
MFC,0,Financials
SLF,0,Financials
NA,0,Financials
POW,0,Financials
VRX,10,Health Care
CNR,5,Industrials
CP,5,Industrials
SNC,0,Industrials
BBD.B,0,Industrials
GIB.A,5,Information Technology
CSU,5,Information Technology
BB,0,Information Technology
ABX,5,Materials
G,5,Materials
POT,0,Materials
AGU,0,Materials
FNV,0,Materials
AEM,0,Materials
SLW,0,Materials
K,0,Materials
TCK.B,0,Materials
YRI,0,Materials
FM,0,Materials
ELD,0,Materials
BCE,5,Telecommunications
T,5,Telecommunications
RCI.B,0,Telecommunications
FTS,5,Utilities
EMA,5,Utilities
,,
,,
Â ,,
